Toyota AYGO , 3455,1615,1460
New Toyota Yaris 2017 , 3945,1695,1510
Toyota Auris , 4330,1760,1475
Toyota Auris Touring Sports , 4595,1760,1485
Toyota GT86 , 4240,1775,1285
Toyota Prius , 4540,1760,1470
Toyota Prius+ , 4645,1775,1575
Toyota Verso , 4460,1790,1620
Toyota Avensis , 4750,1810,1480
Toyota Avensis Touring Sports , 4820,1810,1480
New Toyota C-HR 2017 , 4360,1795,1550
Toyota RAV4 , 4605,1845,1675
Toyota Land Cruiser 3-door , 4505,1885,1830
Toyota Land Cruiser 5-door , 4780,1885,1845
Toyota Hilux 2Cab , 5330,1855,1815
Toyota Proace Verso Compact , 4609,1920,1905
Toyota Proace Verso Medium , 4959,1920,1890
Toyota Proace Verso Long , 5309,1920,1890

Toyota AYGO , 3455,1615,1460
New Toyota Yaris 2017 , 3945,1695,1510
Toyota Auris , 4330,1760,1475
Toyota Auris Touring Sports , 4595,1760,1485
Toyota GT86 , 4240,1775,1285
Toyota Prius , 4540,1760,1470
Toyota Prius+ , 4645,1775,1575
Toyota Verso , 4460,1790,1620
Toyota Avensis , 4750,1810,1480
Toyota Avensis Touring Sports , 4820,1810,1480
New Toyota C-HR 2017 , 4360,1795,1550
Toyota RAV4 , 4605,1845,1675
Toyota Land Cruiser 3-door , 4505,1885,1830
Toyota Land Cruiser 5-door , 4780,1885,1845
Toyota Hilux 2Cab , 5330,1855,1815
Toyota Proace Verso Compact , 4609,1920,1905
Toyota Proace Verso Medium , 4959,1920,1890
Toyota Proace Verso Long , 5309,1920,1890

